TABLE_NAME,TABLE_TEXT
UUJ3CPP,AP Invoice TR Summary Physical file
UUJ4CPP,Project Comp Misc GST Physical file
UUJ5CPP,Label Workfile Physical file
UUJ7REP,SIC Fax Control File Physical file
UUJ8REP,AP Cheque Message Physical file
UUJ9CPP,Project Component Ext Physical file
UUKAREP,SC Dirct Depst Ctrl Ovrd Physical file
UUKBREP,Employee Payroll Codes Ex Physical file
UUKCCPP,AP Direct Deposit Rcd A Physical file
UUKDCPP,AP Direct Deposit Rcd C Physical file
UUKECPP,AP Direct Deposit Rcd Z Physical file
UUKFCPP,SC Pymnt Trkg Ctrl Physical file
UUKGREP,SC Pymnt Trkg Ctrl Type Physical file
UUKHREP,Company Mirror Netting Physical file
UUKIREP,MN Transaction Offset Physical file
UUKJREP,OX Yard Physical file
UUKKREP,OX Rental Category Physical file
UUKLREP,OX Rental Mark-up Physical file
UUKNCPP,AP Direct Deposit Report Physical file
UUKOREP,OX Rental Item Physical file
UUKPREP,OX Customer Physical file
UUKQCPP,AP Dirct Depst Auth Sts Physical file
UUKRREP,OX Sale Item Category Physical file
UUKSREP,OX Sale Item Description Physical file
UUKTREP,OX Tax Percent Physical file
UUKUREP,OX Sale Item Yard Physical file
UUKVCPP,OX Reservation Physical file
UUKWCPP,OX Reservation Detail Physical file
UUKXREP,SC Pymnt EB Trkg Ctrl Physical file
UUKYREP,OX Sales Mark-up Physical file
UUKZCPP,BNS Electronic Statement Physical file
UUK0CPP,BNS ES Transactions Physical file
UUK1CPP,SC Pymnt EB Trkg Physical file
UUK2REP,Vendor Notes In Physical file
UUK3CPP,OX Contract Physical file
UUK4CPP,OX Contract Detail Physical file
UUK5CPP,Stmnt Of Cntrcts Adj Physical file
UUK6REP,PR WCB Rate Physical file
UUK7CPP,OX AR Invoice Physical file
UUK8CPP,OX AR Payment Physical file
UUK9REP,OX Rental Sub Category Physical file
UULAREP,OX Sale Catg CONV Physical file
UULBREP,OX Rental Catg CONV Physical file
UULCREP,Fixed Asset Master Physical file
UULDREP,Fixed Asset Type Physical file
UULEREP,Fixed Asset Maint. Code Physical file
UULFREP,Fixed Asset Warranty Type Physical file
UULGREP,Fixed Asset Tax Class Physical file
UULHREP,Vendor Extension Physical file
UULIREP,Fixed Asset Group Physical file
UULJREP,Fixed Asset Group Auth Physical file
UULKREP,OX Calendar Physical file
UULLCPP,Cashed Cheques Seafirst Physical file
UULMCPP,Cashed Cheques Southtrust Physical file
UULNCPP,OX Inventory Receipt Physical file
UULOCPP,Issued Cheques ADP Physical file
UULPCPP,Change Order Details Cmt Physical file
UULQCPP,Fixed Asset Comments Physical file
UULRCPP,Fixed Asset Trans Physical file
UULSCPP,Billing To Billing Info Physical file
UULTREP,Project Labour OT Dist Physical file
UULUCPP,P&L Indirect Overhead Physical file
UULVREP,OX Rental/Sale Item NOTES Physical file
UULWREP,Fixed Asset Code Prefix Physical file
UULXCPP,AR Payments Extension Physical file
UULYCPP,Billing to Billing Consol Physical file
UULZREP,WJ Owner/Lessee Physical file
UUL0REP,WJ Contract Physical file
UUL1CPP,WJ Contract Comment Physical file
UUL2REP,WJ Maintenance Fee Physical file
UUL3REP,WJ Inventory Physical file
UUL4REP,WJ Timeshare Unit Physical file
UUL5REP,WJ Unit Type/Style Physical file
UUL6REP,WJ Contract Expense Physical file
UUL7REP,WJ Payment Schedule DUMMY Physical file
UUL8CPP,WJ Contract Billing Physical file
UUL9CPP,WJ Cheque Physical file
UUMACPP,OX Contract Detail NOTES Physical file
UUMAREP,WJ Bank Physical file
UUMBREP,AR Progress Inv Authority Physical file
UUMCCPP,WJ Contract Payment Physical file
UUMDCPP,WJ CONV Paid TD Physical file
UUMECPP,AR Spec Unlinked Physical file
UUMFCPP,AR Spec Unlinked Detail Physical file
UUMGCPP,Batch Header Extension Physical file
UUMHCPP,AP Inv SC Auth Physical file
UUMIREP,WJ Billing Calendar Physical file
UUMJCPP,SC Rqst For Pymnt Physical file
UUMKCPP,AR Late Billing Physical file
UUMMREP,CM Budget Spec Physical file
UUMPREP,Currency Conversion Physical file
UUMRREP,CM Bid Package Physical file
UUMSREP,PSIC Master Physical file
UUMTREP,Purchasing Vendor Physical file
UUMUREP,Purchasing Book Master Physical file
UUMVCPP,CM Est Future Committment Physical file
UUMWCPP,Purchase Order Comments Physical file
UUMXCPP,Employee Company Re-Hire Physical file
UUMYCPP,T4 Slip Record Ext Physical file
UUMZCPP,AR Aging Over 60 Physical file
UUM1REP,Alternate Printer Physical file
UUM2REP,Company Currency Cnvrsn Physical file
UUM3REP,Sub-Contract Exchange Physical file
UUM4REP,Sub-Contract CPOC Exchg Physical file
UUM5CPP,AP Sub Acrl 1 SC OS-AR Physical file
UUM6CPP,AP Sub Acrl 3 AR-SC A Dtl Physical file
UUM7CPP,AP Sub Acrl 2 AR-SC Acrl Physical file
UUM8CPP,Budget PR O/H Actual Physical file
UUM9REP,Project Cur Cnvrsn Rates Physical file
UUNACPP,AP Sub Acrl 4 AR-SC Mx Al Physical file
UUNBCPP,AP Cheques Extension Physical file
UUNCCPP,SIC Received Fax In Use Physical file
UUNDREP,Project Sub-Guard Info Physical file
UUNECPP,SC SG IMP RFRSH CTR TXT Physical file
UUNFCPP,SC SG IMP SCTOR INP Physical file
UUNGCPP,PR Direct Depositm Report Physical file
UUNHCPP,Cashed Cheques NBD Physical file
UUNICPP,Project Spreadsheet HST Physical file
UUNJCPP,Employee Layoffs Physical file
UUNKCPP,AR Invoice Lock Physical file
UUNLCPP,AR Invoice Project Lock Physical file
UUNMREP,Business Minority Physical file
UUNNCPP,Cash Flow Per Projctn Physical file
UUNOCPP,Cash Flow Tot Projctn Physical file
UUNPREP,Class/Division Desc Ovrd Physical file
UUNQCPP,AP Cheque Microfilm Index Physical file
UUNTCPP,Canada Payroll Savings Physical file
UUNUCPP,T4 RCTTAX File Physical file
UUNVCPP,PST Variances/Exemptions Physical file
UUNWREP,User Authority Approval Physical file
UUNXREP,User Authority Physical file
UUNYCPP,SC SG IMP PMG CNTC INP Physical file
UUNZCPP,SC SG IMP PROJ INP Physical file
UUN0CPP,SC SG IMP SCACT 001 INP Physical file
UUN1CPP,Project Client First Physical file
UUN2CPP,Sub-Contract Notes Out Physical file
UUN3CPP,AR Billing Spec Out Physical file
UUN4CPP,Voucher Header Comment Physical file
UUN5CPP,OX Customer Comment Physical file
UUN6REP,AR Billing Spec Link Er Physical file
UUN7REP,AR Billing Spec Link Er U Physical file
UUN8REP,Employee Notes Email In Physical file
UUN9REP,Stmnt Of Cntr Ctrl Physical file
UUOAREP,Stmnt Of Cntr Ctrl SA Physical file
UUOBREP,Project Sub-Guard Rate Physical file
UUOCREP,SC SG SC Selected Physical file
UUOECPP,AP Cheque Microfilm Dwnld Physical file
UUOGCPP,Project Financial Info Physical file
UUOHCPP,T4 RCTTAX XML File Physical file
UUOJCPP,Canada Payroll Savings DL Physical file
UUOLCPP,Sub-Contract Financl Info Physical file
UUOMCPP,SC Direct Deposit Count Physical file
UUONREP,Insurance Project Physical file
UUOOCPP,OX Customer Comment A/R Physical file
UUOPREP,Balance Sheet Anal WKF Physical file
UUOQCPP,Bal Sheet Analy - WKF2 Physical file
UUOSCPP,Balance Sheet WKF Excel Physical file
UUOTREP,OX Salesperson Physical file
UUOUCPP,AP Invoice Notes In Physical file
UUOVCPP,AP Invoice Notes In Dtl Physical file
UUOXCPP,Projects Compl EXCEL Physical file
UUOYCPP,Project V2 Insurance Physical file
UUOZCPP,Insurance Cert Build Risk Physical file
UUO0CPP,Insurance Joint Vent Comp Physical file
UUO1REP,Insurance Project J.Vent Physical file
UUO3REP,Insurance Project Ext Physical file
UUO4REP,Project EB Retired Physical file
UUO5CPP,Insurance Cert/Projects Physical file
UUO6REP,Insurance Cert Liability Physical file
UUO8CPP,Notes Utility Physical file
UUO9REP,Notes Address Book ED Physical file
UUQAREP,Notes Address Book EB Physical file
UUQBCPP,TX Products Physical file
UUQCCPP,TX Customer Physical file
UUQDCPP,TX Customer Balances Physical file
UUQECPP,TX Special Pricing Physical file
UUQFCPP,TX Vendors Physical file
UUQGCPP,TX Vendor Balances Physical file
UUQICPP,SC Pymnt Trkg Ctrl Notes Physical file
UUQJCPP,TX Category CONV Physical file
UUQKCPP,TX Invoice Download Physical file
UUQLCPP,TX Invoice Rec Z Physical file
UUQMCPP,TX Invoice Rec H Physical file
UUQNCPP,PR Accrued Incentive-Cost Physical file
UUQPCPP,TX Invoice Rec D Physical file
UUQQCPP,AR Invoice Trans Work Physical file
UUQRCPP,TX Invoice Rec C Physical file
UUQSCPP,TX Invoice Rec N Physical file
UUQTCPP,TX Invoice Rec S Physical file
UUQUCPP,Employee Share Loan Chg Physical file
UUQVREP,TX Lockbox Batch Number Physical file
UUQWCPP,TX Lockbox Download Physical file
UUQXCPP,AR Late Payment Interest Physical file
UUQ0REP,TX Service Description Physical file
UUQ1REP,EB Customer Physical file
UUQ2REP,EB Customer Ship To Physical file
UUQ3REP,Business Sector Physical file
UUQ4REP,EB Credit Card Info Physical file
