TABLE_NAME,TABLE_TEXT
USBEREP,AP Purch Card Merch Cat Physical file
USBFREP,Prov Sales Tax Rate Physical file
USBGREP,Country Tax Rate Physical file
USBHCPP,AR G3 Prime Sub Link Lock Physical file
USBICPP,Material Detail Ext Physical file
USBJCPP,Material Detail TR Ext Physical file
USBKCPP,AP Invoice Ext Physical file
USBLCPP,AP Invoice TR Ext Physical file
USBNREP,ED Application Definition Physical file
USBOREP,ED Application Control Physical file
USBPCPP,AP Sub Acrl Dtls SC Per Physical file
USBQREP,Vendor Hold by Project Physical file
USBRCPP,Project Contact Physical file
USBSCPP,Project Vendor Physical file
USBTREP,ContractReq WS Ref Physical file
USBUCPP,AP Sub Acrl SC CC Physical file
USBUREP,Labour Code Minor Sectn Physical file
USBWREP,Cost Type Physical file
USBXCPP,AR Billing To Cost Physical file
USBYREP,Cost Code New Str Input Physical file
USBZCPP,Project WS Trans Physical file
USB0CPP,WRK Employer Contr Amts Physical file
USB1REP,PIMA1N9 Tax Account Number Physical file
USB2CPP,WRK Contr Download Amts Physical file
USB3REP,Project Ws Reference Physical file
USB4REP,Owner to Vendor Physical file
USB5REP,Architect to Vendor Physical file
USB7REP,SD Shares Acc Reference Physical file
USB8CPP,WRK CSV Temp File Physical file
USCACPP,Sub-Contract Req to SC Physical file
USCBCPP,Material Cost WS Trans Physical file
USCCREP,Dividend Cheques Ext Physical file
USCDCPP,AP Sub Acrl SC CC Prv Physical file
UTAAREP,EB Sales Rep Physical file
UTABREP,EB Project Manager Physical file
UTACREP,EB Contract Physical file
UTAFCPP,EB Commissions Physical file
UTAGCPP,Sub-Contract CPOC EdgeB Physical file
UTAHCPP,Currency Code Comment Physical file
UTAICPP,Currency Conv Comment Physical file
UTAJCPP,Employee Master WS Trans Physical file
UTAKCPP,Allegro WS Trans Physical file
UTALCPP,Change Order EdgeB Physical file
UTAMCPP,Change Order EdgeB Detl Physical file
UTANREP,PR Emp Loan Interest Rate Physical file
UTAQCPP,PR Emp Loan Interest Physical file
UTARCPP,Time Sheets Detail Dwnld Physical file
UTASCPP,employee vacation Physical file
UTATCPP,Sub-Contract C-CPOC EdgeB Physical file
UTAUCPP,Ap Purchase Card Physical file
UTAVREP,SIC Group Physical file
UTAWREP,SIC Subgroup Physical file
UTAXCPP,AP Invoice Duplicate Physical file
UTAYREP,WJ TS Blocked Reason Physical file
UTAZCPP,Email Sent History File Physical file
UTA0CPP,AP Invoice Fiscal Ref Physical file
UTA1CPP,Sub-Contract CPOC Akn EB Physical file
UTA2CPP,Change Order EdgeB Dt SC Physical file
UTA3REP,Project EB Download Physical file
UTA4CPP,Employee Vacation Run Cal Physical file
UTA5CPP,PR Accrued Gratuity Physical file
UTA6CPP,AP Sub Acrl 5 Report Physical file
UTA7CPP,AR Billing Spec EB Physical file
UTA8REP,Dividend Cheques Init XLS Physical file
UTA9REP,AR Invoice GST Rate Ovrd Physical file
UTBACPP,Dividend Cheques Physical file
UTBBCPP,Sub-Contract Req Fin Info Physical file
UTBCCPP,Dividend Cheques Dtl Physical file
UTBDREP,Email Alternate Address Physical file
UTBECPP,Investment Download Physical file
UTBGREP,SD Tranche Offers Physical file
UTBHREP,SD Dividends Physical file
UTBICPP,SD Employee Shares Upload Physical file
UTBJCPP,SD Employee Shares Physical file
UTBKCPP,SD Employee Dividends Physical file
UTBLCPP,Time Sheets WS Trans Physical file
UTBMCPP,SD Shareholders Comments Physical file
UTBNREP,SD Table Physical file
UTBOREP,SD Table Contents Physical file
UTBPCPP,SD History and Audit Data Physical file
UTBQREP,SD Share Class Physical file
UTBRCPP,SD Emp Loan Transactions Physical file
UTBSCPP,SD Employee Share Summary Physical file
UTBTCPP,WRK Employee Share Summ Physical file
UTBUCPP,SD Error Report Physical file
UTBVCPP,Voucher Copy From Physical file
UTBWREP,Payroll Ben BC Md Empr Physical file
UTBXREP,PR CRA ROE Physical file
UTBYCPP,Position Profile WS Trans Physical file
UTBZREP,Sub-Contract Component Physical file
UTB0CPP,Voucher Ignore Sub-Area Physical file
UTB1REP,WJ Pricing Physical file
UTB2REP,WJ Pricing Variance Physical file
UTB3REP,WJ Pricing Date To Use Physical file
UTB4REP,WJ Pricing O/R Reason Physical file
UTB5REP,Sub-Contract Comp Ext Physical file
UTB6REP,PR ROE Export Physical file
UTB7REP,WJ Pricing by Inventory Physical file
UTB8REP,WJ Pricing Weeks Physical file
UTB9REP,WJ Pricing Week Group Physical file
UTCBCPP,Sub-Contract Comp Exch Physical file
UTCCCPP,AP Invoice TR GST Error Physical file
UTCDCPP,Time Sheets Ext Physical file
UTCECPP,Project Archive Excel Physical file
UTCFCPP,SD Employee Shares Uld Physical file
UTCGREP,SD Share Value Physical file
UTCHREP,WJ Tri-Annual Year Physical file
UTCICPP,SD Report CSV Temp Physical file
UTCJCPP,Union Benefits Export Physical file
UTCKCPP,Union Benefits Export CSV Physical file
UTCLCPP,SD Employee Sha Summ Trn Physical file
UTCMREP,Employee Pay History Physical file
UTCNCPP,PR Roe Export 1 Empl Physical file
UTCOCPP,PR ROE Export Salary Physical file
UTCPCPP,Ap Invoice Tr Comment Physical file
UTCQCPP,SD Direct Deposit Rcd A Physical file
UTCRCPP,SD Direct Deposit Rcd C Physical file
UTCSCPP,SD Direct Deposit Rcd Z Physical file
UTCTCPP,Changes WS Transaction Physical file
UTCUCPP,Billings Sub WS Trans Physical file
UTCVCPP,ContractReq WS Trans Physical file
UTCWCPP,InvoicesIn WS Trans Physical file
UTCXCPP,Material Detail YE Physical file
UTCZCPP,Time Sheets WS Batch Cde Physical file
UTC0CPP,PR Cheques WS Trans Physical file
UTC1CPP,Billings Prime WS Tax Physical file
UTC2CPP,Billings Prime WS Rtng L Physical file
UTC3CPP,Billings Prime WS Cntct Physical file
UTC4CPP,Billings Prime WS Rtng Physical file
UTC5REP,Billings Prime To FMS Ln Physical file
UTC6CPP,Employee Master WS Physical file
UTC7CPP,Employee Export G3 Physical file
UTC8CPP,Employee Export Cust G3 Physical file
UTC9REP,Project WS Config Physical file
UTDACPP,Payroll Cheque Run Physical file
UTDBREP,Payroll Cheque Print Loc Physical file
UTDCCPP,G3 Custom Fields Exp Physical file
UTDDCPP,G3 Trade Chaque Update Physical file
UTDEREP,InvoicesIn To G3 Ref Physical file
UTDFCPP,PR Job Code Exception Physical file
UTDGCPP,G3 Sub Payment Update Physical file
UTDHCPP,G3 Sub Payment WS Physical file
UTDIREP,PR WCB Rate Type Physical file
UTDJCPP,G3 Prime Paymnt WS Trans Physical file
UTDKCPP,G3 Prime Payment Update Physical file
UTDMCPP,Project WS Trans Det Physical file
UTDNCPP,InvoicesIn WS Trans Com Physical file
UUAAREP,Vendor Physical file
UUABREP,Payment Terms Physical file
UUACREP,Region Physical file
UUADREP,AP Vendor Physical file
UUAECPP,AP Invoice Sort File Retrieval index
UUAFREP,Sub-Contract Physical file
UUAGREP,AR Billing Spec Physical file
UUAHREP,Company Physical file
UUAIREP,Area Physical file
UUAJREP,Owner/Customer Physical file
UUAKREP,Labour Cost Physical file
UUALREP,Material Cost Physical file
UUAMREP,Change Order Physical file
UUANCPP,Labour Detail Physical file
UUAOCPP,Material Detail Physical file
UUAPREP,Bank Account Physical file
UUAQREP,Employee Master Physical file
UUARCPP,AR Invoice Physical file
UUASCPP,AR Cash Receipts Physical file
UUATCPP,AP Cheques Physical file
UUAUCPP,AP Invoice Physical file
UUAVREP,Project Physical file
UUAWREP,Material Code/Sectn Physical file
UUAXCPP,Time Sheets Physical file
UUAYCPP,Voucher Header Physical file
UUAZCPP,Payroll Codes Master Physical file
UUA0CPP,Warehouse Inventory Physical file
UUA1REP,Employee Payroll Codes Physical file
UUA2REP,Chart of Accounts Physical file
UUA3REP,General Ledger Master Physical file
UUA4REP,Employee Job Code Physical file
UUA5REP,Union Code Physical file
UUA6CPP,GL Fisc Per Bal Physical file
UUA7CPP,GL Transactions Physical file
UUA8REP,Province/State Code Physical file
UUA9REP,Currency Code Physical file
UUBAREP,Architect Physical file
UUBBCPP,Budget Physical file
UUBCCPP,Budget Change Order Physical file
UUBDREP,Project Bank Acct Extrnl Physical file
UUBECPP,Payroll Adjustments Physical file
UUBFREP,Class/Division Physical file
UUBGREP,Employee Company Physical file
UUBHCPP,Weekly Earnings Physical file
UUBICPP,Change Order Details Physical file
UUBJREP,Sub-Contractor Group SIC Physical file
UUBKREP,Project Currency Cnvrsn Physical file
UUBLREP,Payroll Calendar Physical file
UUBMREP,Fiscal Calendar Physical file
UUBNREP,Contract History WELBRO Physical file
UUBOREP,Statement master Physical file
UUBPCPP,Sub-Contract Notes In Physical file
UUBQREP,Labour Code/Sectn Physical file
UUBRREP,Country Physical file
UUBSCPP,Sub-Area Physical file
UUBTCPP,CM Status Report Physical file
UUBUREP,Sub-Contract Bank Account Physical file
UUBWREP,Change Order Notes Physical file
UUBXCPP,Budget Period Balances Physical file
UUBYREP,Termination Code Physical file
UUBZCPP,Project Spreadsheet DwnLd Physical file
UUB0REP,Vendor Name Search Physical file
UUB1CPP,Batch Header Physical file
UUB2REP,Contract Type Physical file
UUB3CPP,AP Invoice SC Physical file
UUB4REP,Payroll Group Physical file
UUB5CPP,Cash Flow Physical file
UUB6CPP,AP Purchase Card Tran Physical file
UUB7CPP,Time Sheets Detail Physical file
UUB8CPP,Time Sheets Header Physical file
UUB9CPP,Payroll Cheques Physical file
UUCAREP,P&L Control Physical file
UUCBREP,PIM4151 Ctrl Othr Incm Physical file
UUCCREP,AP Purchase Card Tran Usd Physical file
UUCDREP,P&L Group Physical file
UUCEREP,P&L Sub-Group Physical file
UUCFREP,Vendor Notes Out Physical file
UUCGREP,AP Standard Product Physical file
UUCHREP,Employee Project Auth Physical file
UUCIREP,Employee Job Class Physical file
UUCJREP,Employee Master HRM Physical file
UUCKREP,WJ Salesperson Physical file
UUCLREP,WJ Commission Code Physical file
UUCMREP,WJ Commission Table Physical file
UUCNREP,Project EB Physical file
UUCOREP,PIM4151 Stmt format Physical file
